Número de serie,Escuela o facultad:,Edad:,Sexo:,Tiene tutor,"1.	¿Conoces las actividades de tutoría que se desarrollan en tu Escuela o Facultad?","2.	¿Consideras que en tu Escuela o Facultad es necesaria la tutoría?","3.	¿Consideras que en tu Escuela o Facultad la tutoría funciona?",Sugerencias
6430,FES Cuautitlán,19,Femenino,B,Sí,Sí,Sí,Debería a haber más grupos
6440,Escuela Nacional Preparatoria,15,Masculino,B,Sí,Sí,Sí,Todo correcto 
6442,Facultad de Ingeniería,20,Masculino,B,No,Sí,Sí,Ninguna
6450,Facultad de Ingeniería,23,Femenino,B,Sí,Sí,Sí,"Se perdió un poco el sentido de tutoría cuando empezó la pandemia y creo que hubiera sido una herramienta muy importante en ese proceso de transición. Ahora que tenemos más accesibilidad remota, las sesiones de tutoría podrían hacerse de manera virtual y creo que puede ser un beneficio para ambas partes. "
6457,Facultad de Ingeniería,20,Femenino,B,No,Sí,No,Se podría incentivar a los profesores y alumnos a no perder el contacto al finalizar el tiempos que se cursa la tutoría.
6463,FES Cuautitlán,21,Femenino,B,Sí,Sí,Sí,Invitar a ex alumnos a platicar sobre sus experiencias durante y después de la carrera 
6464,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,Sí,Implementar las tutorías o enfocarse más en los temas escolares
6465,Escuela Nacional Preparatoria,16,Masculino,B,No,Sí,Sí,En mi opinión tendrían que dar más horas de la clase de turoria
6466,FES Cuautitlán,21,Femenino,B,Sí,Sí,Sí,"las instituciones den a conocer a los tutores,  ya que a veces los tutores no pueden tener contacto con todos los alumnos y de esta manera los alumnos nos podamos acercar a los tutores "
6467,Facultad de Psicología,18,Femenino,B,Sí,Sí,Sí,Ninguna por el momento
6468,Facultad e Contaduría y Administración,18,Femenino,B,No,Sí,Sí,que mantengan la comunicación 
6469,Facultad de Ingeniería,22,Masculino,B,No,Sí,No, 
6470,Facultad de Filosofía y Letras,19,Masculino,B,No,Sí,No,Algún tipo de propedéutico para los de nuevo ingreso y saber de estás herramientas de tutoría
6471,FES Aragón,21,Femenino,B,No,Sí,No,"Considero que los tutores deben estar más en contacto con las autoridades de cada carrera, pues a veces los alumnos tienen problemas que no pueden externar o canalizar fácilmente con otras autoridades. "
6472,FES Cuautitlán,18,Femenino,B,No,Sí,Sí,No tengo 
6473,Facultad de Ciencias Políticas y Sociales,18,Masculino,B,Sí,Sí,No,"El programa de tutorías es malo, los tutores son buenos pero insignificantes en la vida estudiantil de los alumnos, recomiendo que tengan más presencia."
6475,"Facultad de Medicina, Veterinaria y Zootecnia",21,Femenino,B,Sí,Sí,Sí,Que tenga un horario fijo 
6478,Escuela Nacional Preparatoria,18,Masculino,B,No,Sí,No,No 
6496,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,Ninguna
6517,Escuela Nacional Preparatoria,15,Masculino,B,Sí,Sí,Sí,Todo bien.
6525,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,"Un poco más de difusión acerca de la actividades del programa de tutoría y de las funciones de los tutores, ya que tenía en entredicho de qué se trataba pero me doy cuenta que me hace falta información, sin embargo, nuestro tutor siempre nos ha mantenido al tanto de la información relevante y pertinente y algunos de mis compañeros se han podido apoyar en él para atender diversas cuestiones, no obstante, no sabría evaluar si cumple con su papel de tutor al carecer de información"
6532,FES Aragón,21,Masculino,B,Sí,No,No,Ninguna
6533,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,Más disponibilidad 
6534,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,Preparación psicólogica 
6535,Facultad de Ingeniería,22,Masculino,B,No,Sí,Sí,Fortalecer la comunicación entre el tutor y alumno.
6538,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,Ninguna por el momento
6545,"Facultad de Medicina, Veterinaria y Zootecnia",18,Femenino,B,No,Sí,Sí,El programa de tutoría me parece adecuado y funcional 
6555,Facultad de Medicina,20,Femenino,B,Sí,Sí,Sí,"Podría mejorar si retoman las asesorías presenciales, sería otra forma de trabajo, ayuda el contacto físico "
6568,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,Ninguna 
6576,FES Zaragoza,18,Femenino,B,Sí,Sí,Sí,Preparacion para los tutores
6577,Escuela Nacional Preparatoria,17,Masculino,B,Sí,Sí,Sí,Expandir un poco más el tiempo de practicas en laboratorio 
6587,Escuela Nacional Preparatoria,18,Masculino,B,Sí,Sí,Sí,La verdad considero que esta bien.
6593,Facultad de Ingeniería,21,Femenino,B,No,Sí,No,Que no solo sé de él primer año.
6602,Facultad de Ingeniería,24,Masculino,B,Sí,Sí,Sí,"En primer semestre tenia altas probabilidades de desertar, le envié correos a mi tutor y si me respondió ayudándome, desafortunadamente cambie de correo y perdí el seguimiento que tenia con el"
6603,posgrado de estudios mesoamericanos,50,Masculino,B,Sí,Sí,Sí,No se.
6610,Escuela Nacional de Enfermería y Obstetricia,29,Masculino,B,No,Sí,Sí,Todo bien 
6620,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,No,"El profesor Carlos Pérez López fue seleccionado para ser tutor del grupo 459. Sin embargo, considero que fue pésimo como tutor, ya que nunca se hizo presente, ni se puso en contacto con nosotros para realmente ejercer su papel como tutor. 

Me encuentro inconforme con su desempeño tanto como profesor de matemáticas y su papel de tutor."
6624,Escuela Nacional Preparatoria,18,Femenino,B,No,Sí,Sí,"Me gustaría que se le diera más difusión, relevancia e importancia al tema de las tutorías en la escuela porque, por lo menos a mí, me ha ayudado en varios aspectos más que nada académicos."
6627,Facultad de Derecho,21,Femenino,B,Sí,Sí,Sí,El tiempo de las asesorias deberia ser mas largo.
6628,FES Aragón,23,Masculino,B,No,No,Sí,Todo bien
6632,Facultad de Ciencias Políticas y Sociales,19,Masculino,B,Sí,Sí,No,Imposición de lenguaje inclusivo y nulo conocimiento en temas sencillos como becas y programas así como cero importancia en los asuntos del alumno 
6635,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,Que los tutores se vean más comprometidos.
6644,Facultad e Contaduría y Administración,23,Femenino,B,No,Sí,Sí,Ponerse mas en contacto con los alumnos de Suayed
6650,"Facultad de Medicina, Veterinaria y Zootecnia",18,Masculino,B,Sí,Sí,Sí,Que todos los tutorados se comprometan a realizar las actividades pertinentes y brindar el apoyo que se debe
6651,Facultad de Filosofía y Letras,19,Femenino,B,Sí,No,Sí,No tengo sugerencias 
6685,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,No creo tener alguna sugerencia por el momento 
6686,Escuiela Nacional de Trabajo Social,20,Femenino,B,No,Sí,Sí,Creo que todo está bien así 
6691,FES Acatlán,18,Femenino,B,No,Sí,Sí,Nada que decir.
6692,Facultad de Medicina,23,Femenino,B,No,Sí,Sí,Que me ha sido de mucha ayuda
6694,Escuela Nacional Preparatoria,16,Masculino,B,No,Sí,Sí,infórmenos más 
6703,Facultad de Ingeniería,19,Masculino,B,Sí,Sí,Sí,"ninguna, todo va bien"
6705,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,.
6707,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,Ninguna sugerencia. Todo bien por ahora. 
6713,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,No,Que el tutor tenga un correo aparte o algún modo de comunicarse con mayor facilidad y así comentar lo que está sucediendo en el grupo
6716,FES Cuautitlán,18,Femenino,B,No,Sí,No,No sé quién es mi tutor 
6719,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,"Me parece de suma importancia que se siga trabajando y mejorando el plan de estudios de tutoría, de modo que siga siendo de gran ayuda para toda la comunidad escolar "
6731,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,Sí,.
6746,FES Aragón,19,Masculino,B,No,Sí,Sí,Ninguna
6751,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,.
6767,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,Todo esta bien
6777,Facultad e Contaduría y Administración,21,Femenino,B,Sí,Sí,Sí,Que haya un espacio en plataforma dedicado a resolver dudas y no por correo electrónico 
6791,ENES León,27,Masculino,B,Sí,Sí,Sí,sadsffdssgsgs
6793,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,Sí,No tengo ninguna sugerencia 
6801,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,No,"Dedicar más tiempo a la tutorial ya qué en ocasiones solo he tenido una sesión de tutoria durante todo el ciclo escolar, incluso he llegado a desconocer quien es mi tutor.
"
6818,"Facultad de Medicina, Veterinaria y Zootecnia",18,Femenino,B,Sí,Sí,Sí,Creo que tener un tutor ayuda mucho para la escuela y para lo personal 
6826,Facultad de Ingeniería,25,Masculino,B,No,Sí,No,"Mi tutor todo este tiempo de pandemia y clases en linea nunca tuvo comunicación comunicación conmigo solo en hubo comunicación en primer semetres y yo creo porque se vio obligado pero después de ahí no hubo interés alguno. 
Recomiendo que capaciten mejor al personal o seleccionen mejor a los tutores ya que hay profesores con otros interés que no tiene tiempo para ser tutores. "
6829,FES Cuautitlán,22,Masculino,B,Sí,Sí,Sí,"A lo largo de los 5 semestres que ya llevo cursados, en ningún momento he sabido quién es mi tutor o tutora, estaría bien que siempre cada tutor se presente con su grupo y que esté al pendiente de las necesidades de los alumnos de su grupo para resolver asuntos.


"
6831,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,Podría ser la manera de comunicarse con los alumnos
6832,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,Estoy muy satisfecha con las tutorías.
6840,FES Iztacala,19,Femenino,B,Sí,Sí,Sí,Ninguna 
6849,Escuela Nacional Preparatoria,15,Femenino,B,Sí,No,Sí,Sin comentarios al respecto
6851,FES Cuautitlán,20,Femenino,B,No,Sí,Sí,"Sería bueno conocer todo lo que un tutor puede hacer, podría ser que nos mandarán un correo con un PDF para poder leer toda esa información y estar enterada."
6853,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,"Que las clases sean dinámicas, es decir haya participación de los alumnos en la clase para que no sea aburrido y se pueda comprender mejor lo visto en la clase."
6854,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,Ninguna
6856,Facultad de Ciencias Políticas y Sociales,19,Femenino,B,Sí,No,No,Mejor organización
6861,Escuiela Nacional de Trabajo Social,21,Femenino,B,No,Sí,Sí,Ninguna todo bien 
6864,Escuela Nacional Preparatoria,16,Masculino,B,No,Sí,Sí,"Hasta el momento todo me ha parecido muy bien, únicamente no sabía sobre los programas de tutoría, por lo cual sería indagar más al respecto."
6865,FES Iztacala,45,Femenino,B,Sí,Sí,Sí,Es pesado tomar la tuturia en el primer semestre por la carga de materias 
6873,FES Cuautitlán,32,Masculino,B,Sí,Sí,Sí,.
6882,Facultad de Economía,22,Femenino,B,Sí,Sí,No,Me gustaría que los tutores estuvieran más al pendiente 
6884,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,"Que haya clases establecidas para clases de tutoría ya que no he tenido muchas, las que he tenido me han servido pero son necesarias más para ayudar a todos los estudiantes."
6897,ENP 5,15,Femenino,B,No,Sí,Sí,"asistir al plantel ya, debido a que en lo personal se me complica aprender a distancia."
6903,Facultad e Contaduría y Administración,27,Masculino,B,No,Sí,Sí,No
6904,FES Acatlán,18,Femenino,B,Sí,Sí,Sí,"Todo perfecto, gracias."
6907,Escuela Nacional Preparatoria,18,Femenino,B,No,Sí,Sí,Ninguna
6918,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,Mejor información 
6928,FES Cuautitlán,21,Masculino,B,Sí,Sí,Sí,Que existe una mayor comunicación entre Tutores y Alumnos y existan más pláticas sobre temas de interés en los jóvenes.
6930,Facultad de Derecho,22,Femenino,B,No,Sí,Sí,"Que se informe más acerca de las tutorías, como consultar sobre ellas y saber el tipo de alcance que podemos adquirir a través de ellas"
6932,Escuela Nacional Preparatoria,18,Femenino,B,Sí,Sí,Sí,Muy buena atención. :)
6944,Escuela Nacional Preparatoria,17,Masculino,B,No,Sí,No,"Centrarse en hacer que los alumnos conozcan las carreras desde quinto año , para que así puedan saber que quieren ."
6946,FES Aragón,21,Femenino,B,No,Sí,Sí,que nos informaran mas las funciones que tiene un tutor
6949,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,"ninguna
"
6950,Facultad de Ingeniería,28,Femenino,B,Sí,Sí,Sí, 
6956,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,No,Que se presenten adecuadamente a el alumnado ya que nunca sabes quien es cuando lo necesitas
6958,FES Cuautitlán,21,Masculino,B,No,Sí,No,Que exista mas difusion
6959,FES Cuautitlán,19,Masculino,B,No,Sí,Sí,Ninguna
6962,ENES Morelia,22,Masculino,B,Sí,Sí,Sí,Sin sugerencias.
6971,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,No tengo ninguna sugerencia
6972,FES Cuautitlán,24,Femenino,B,Sí,Sí,Sí,"Fomentar las platicas y procesos sobre titulacion, servicio social, idioma"
6974,FES Cuautitlán,22,Femenino,B,No,Sí,No,"Me gustaría que se proporcione mas información sobre esto, debido a que los tutores que he tenido en lo absoluto han brindado asesorías o información."
6975,FES Acatlán,18,Masculino,B,Sí,Sí,Sí,.
6976,Facultad de Ingeniería,24,Masculino,B,Sí,Sí,Sí,.
6977,Facultad de Ingeniería,19,Femenino,B,Sí,Sí,Sí,Nada
6978,Escuela Nacional Preparatoria,17,Masculino,B,No,Sí,Sí,"Sugiero que debería tener más difusión
"
6982,Escuiela Nacional de Trabajo Social,23,Femenino,B,No,Sí,No,"Realmente falta difusión del programa, las alumnas y alumnos, nos enteramos solo por el profesor que es nuestro tutor, pero no se sabe exactamente ese programa en que te ayuda."
6989,Facultad de Ingeniería,22,Masculino,B,Sí,Sí,No,"En mi caso, me he mantenido en contacto con mi tutora a lo largo de mi carrera ya que fui yo quien le preguntaba cosas. Sin embargo, siento que mi tutora dejó de tener contacto con el resto del grupo a partir de 2do semestre."
6990,Facultad de Ciencias Políticas y Sociales,23,Femenino,B,Sí,Sí,Sí,"Todo bien con el profe tutor la verdad me ha dado informacion oportuna y precisa, es amable y nos resuelve dudas"
6997,Facultad e Contaduría y Administración,24,Masculino,B,Sí,Sí,Sí,Es de mucha ayuda tener tutoria
6998,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,El programa es eficiente. 
6999,Escuela Nacional Preparatoria,18,Femenino,B,Sí,No,No,.
7000,ENES Morelia,25,Masculino,B,Sí,Sí,No,"Los tutores podrían ser un poco más empáticos, algunas veces han demostrado solo observaciones y no retroalimentaciones "
7007,Escuiela Nacional de Trabajo Social,19,Femenino,B,No,Sí,Sí,Que desde el principio de senestre mencionen quien es nusestro tutor o tutora al respecto
7009,ENP 5,17,Femenino,B,No,Sí,No,No hay sugerencia 
7012,Escuela Nacional Preparatoria,17,Femenino,B,Sí,No,No,Los profes deberían respetar la hora de turoria
7018,FES Cuautitlán,19,Femenino,B,No,Sí,Sí,Platicas de motivacion 
7024,FES Acatlán,20,Femenino,B,Sí,Sí,Sí,Más difusión 
7026,ENES Morelia,24,Femenino,B,No,Sí,Sí,"ningún comentario. Los tutores de la carrera han tratado de acercarse lo posible a nosotras y, considero, que el grupo sabe que puede acercarse a ellos ante una situación que lo requiera"
7027,ENES Morelia,18,Femenino,B,Sí,Sí,Sí,Todo bien
7028,Escuela Nacional Preparatoria,19,Femenino,B,No,Sí,Sí,"Que no por ser clases en línea nos pongan cualquier trabajo o conferencias que no tienen nada que ver con el temario de tutoria, sólo para beneficio del profesor. "
7029,"Facultad de Medicina, Veterinaria y Zootecnia",18,Femenino,B,Sí,Sí,Sí,Es un programa excelente que ayuda a integrarnos en la vida universitaria y como profesionales :)
7030,Facultad e Contaduría y Administración,39,Femenino,B,Sí,Sí,Sí,"Me parece que la tutoría es más necesaria en primer semestre, pues ya en segundo semestre hacia adelante ya tenemos idea clara de cómo funciona el sistema."
7031,Colegio de Ciencias y Humanidades,18,Femenino,B,Sí,Sí,Sí,"Creo que esta bien, ya que como alumnos solemos tener dudas y es bueno que un tutor nos pueda apoyar"
7032,Facultad de Ingeniería,23,Femenino,B,Sí,Sí,Sí,"En mi caso solo tuve tutora los dos primeros semestres, después ya no tuve más comunicación, considero que es bueno, cuando tu tutor o tutora tiene contacto continuo contigo"
7033,Facultad de Medicina,20,Femenino,B,Sí,Sí,Sí,"Ninguno, es muy buena la atención y mi tutora es amable."
7034,Escuela Nacional Preparatoria,16,Masculino,B,Sí,No,Sí,sin cmentarios
7036,FES Iztacala,56,Masculino,B,Sí,Sí,Sí,Creo que todo está bien. Cuando he tenido dudas me han respondido bien y a tiempo. Gracias
7037,Facultad de Economía,18,Masculino,B,Sí,Sí,No,ninguna
7038,FES Acatlán,22,Femenino,B,Sí,Sí,Sí,.
7041,Escuela Nacional Preparatoria,17,Masculino,B,No,Sí,Sí,No tengo sugerencia
7042,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,"no, ninguna"
7043,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,Ninguna 
7046,FES Cuautitlán,18,Masculino,B,No,Sí,Sí,No tengo ninguna sugerencia.
7050,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,Me gustaría que se conviviera más o fueran más didácticas y productivas 
7052,Escuela Nacional Preparatoria,18,Femenino,B,No,Sí,Sí,Ninguno
7054,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,Que la información fuera difundida de mejor manera y que al mismo tiempo los maestros se prestarán a un mejor servicio desde las mismas clases y no hasta una tutoria
7055,"Facultad de Medicina, Veterinaria y Zootecnia",19,Femenino,B,Sí,Sí,Sí,"Como lo están manejando en mi facultad esta bien, cada día están mejorando  con respecto a las herramientas que utilizan "
7057,FES Aragón,18,Masculino,B,No,Sí,Sí,Las tutorías si ayudan porque muchas personas necesitan ese apoyo 
7059,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,...
7061,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,Que den una clase en especializada en la tutora. 
7063,Facultad de Ingeniería,19,Masculino,B,No,Sí,Sí,"Poner en el lugar de tutor a personas capacitadas o al menos que tengan información, ya que mi tutora realmente no responde nuestras preguntas, su respuesta siempre es ""no tengo información""."
7064,FES Cuautitlán,25,Femenino,B,Sí,Sí,Sí,Ninguna
7096,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,Sí,.
7100,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,Sí,No tengo ninguna 
7102,FES Aragón,19,Femenino,B,No,Sí,No,Deberían tomar en cuenta más actividades artísticas los tutores 
7103,Facultad de Ciencias Políticas y Sociales,18,Masculino,B,Sí,Sí,Sí,No tengo 
7110,ENES León,19,Femenino,B,No,Sí,Sí,Estaría muy bien que se organizaran más seguido las reuniones con los tutores y alumnos 
7113,Facultad de Ingeniería,21,Femenino,B,No,Sí,Sí,Seguir mejorando como tutor. 
7118,FES Acatlán,18,Femenino,B,No,Sí,Sí,Avisarnos del programa de tutoría
7119,Centro de Nanociencias y Nanotecnología,21,Masculino,B,Sí,Sí,Sí,:)
7123,FES Aragón,19,Masculino,B,Sí,Sí,Sí,"Sin sugerencias, como se lleva a la práctica el programa de tutorías me parece excelente."
7131,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,.
7138,FES Cuautitlán,20,Femenino,B,Sí,Sí,Sí,que al inicio de semestre digan quien es nuestro tutor y nos de un contacto
7145,Facultad de Filosofía y Letras,18,Masculino,B,No,Sí,Sí,.
7148,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,-
7151,Escuela Nacional Preparatoria,16,Masculino,B,No,Sí,No,"Que sea más diverso el anoto de la tutoría, con más información y a más compañeros"
7157,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,Que le tomen más tiempo a explicar cosas referentes a la escuela.
7160,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,No,"Creo que debería de aver estación en donde el tutor se dedique solo a escucharnos, en algo que nos moleste de la escuela o problemas con otros maestros, dedicarle un tiempo, como si fuera una materia más, ya que por lo menos en mi escuela eso no sucede. "
7172,FES Cuautitlán,25,Masculino,B,Sí,Sí,Sí,#¿NOMBRE?
7178,ENES Morelia,24,Femenino,B,Sí,Sí,Sí,.
7182,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,No,"Considero que es importante la comunicación y aún más en esta modalidad. El tutor debería dar sesiones de zoom en donde los alumnos puedan platicar, para que de igual forma exista cierta convivencia e interacción entre el tutor y los estudiantes."
7184,FES Aragón,23,Masculino,B,Sí,Sí,Sí,"Es el primer semestre que tengo tutor, por el momento no tengo sugerencias."
7185,Escuela Nacional Preparatoria,17,Masculino,B,No,No,No,"Sobre todo en el primer año, es un poco contradictorio que una clase que debería ayudar, te pueda llegar a perjudicar como calificación. "
7190,Escuela Nacional Preparatoria,15,Femenino,B,No,No,Sí,"no hay sugerencias.
"
7191,Escuela Nacional Preparatoria,17,Masculino,B,Sí,Sí,Sí,Cuestionarios de apoyo
7192,Facultad e Contaduría y Administración,18,Masculino,B,No,Sí,Sí,"Todo bien, solo que se haga mas presente.
"
7193,Colegio de Ciencias y Humanidades,15,Masculino,B,Sí,Sí,Sí,Ninguno al contrario agradezco a mi tutora que siempre nos motiva a seguir estudiando y siempre nos pregunta que si tenemos algún problema para ver como nos puede orientar.
7194,ENP#9 Pedro de Alba,17,Masculino,B,Sí,Sí,Sí,Ninguna
7207,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,Ninguna 
7211,Facultad de Derecho,28,Masculino,B,No,Sí,Sí,Realmente no he utilizado los beneficios de un tutor. 
7216,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,"A mi parecer, las únicas sugerencias es mejorar el horario de las tutorías, principalmente porque en línea es más difícil que presencial, de ahí en fuera, todo esta bien. "
7217,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,Sí,"Considero que es importante darle un poco más de visibilidada a este tema, ya que no se le da un seguimiento correspondiente."
7219,Escuela Nacional Preparatoria,17,Femenino,B,No,Sí,No,"Sería conveniente que se informara al estudiantado sobre el programa de tutoría, ya que en lo personal no sé qué actividades se llevan a cabo en mi escuela."
7222,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,"Los tutores son de gran ayuda para todos los alumnos, gracias"
7224,Escuela Nacional Preparatoria,16,Femenino,B,Sí,Sí,Sí,"no se me ocurre ninguna, creo que el programa esta muy bien tal cual está"
7225,Escuela Nacional Preparatoria,15,Femenino,B,No,Sí,Sí,Me parece que está muy bien como está organizado el programa de tutoría
7238,Escuela Nacional Preparatoria,16,Masculino,B,Sí,No,No,Que este destinada al apoyo de alumnos en cuanto a dudas o quejas sobre los profesores o acerca de la institución en la que están inscritos.
7239,Facultad de Ingeniería,22,Masculino,B,No,Sí,No,.
7246,Facultad de Ingeniería,20,Masculino,B,No,Sí,Sí,Ninguno por el momento
7248,"Facultad de Medicina, Veterinaria y Zootecnia",18,Femenino,B,Sí,Sí,Sí,Ninguna 
7252,FES Cuautitlán,22,Femenino,B,Sí,Sí,Sí,Seleccionen a los Maestros con mayor experiencia en el área y que tengan gran interés por ser tutores
7254,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,Sí,No tengo ninguna 
7262,Facultad e Contaduría y Administración,19,Femenino,B,Sí,Sí,No,No molestarse porque preguntemos algo
7267,Preparatoria número 5,18,Masculino,B,Sí,Sí,Sí,Tener una clase de tutoría a la semana obligatoriamente 
7272,FES Zaragoza,20,Femenino,B,No,Sí,Sí,"Solo que exista más participación para que lleguen a acuerdos en conjunto con los profesores, porque unos nos dicen una cosa y otros otra"
7280,FES Zaragoza,21,Femenino,B,Sí,Sí,Sí,"no
"
7284,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,.
7285,Escuiela Nacional de Trabajo Social,44,Femenino,B,No,Sí,Sí,No
7294,Facultad de Economía,19,Femenino,B,Sí,Sí,Sí,. 
7295,Facultad de Ingeniería,20,Masculino,B,No,Sí,No,"Se desconoce mucho acerca del los programas de tutoría ,deberían hacer campañas para visibilizarlos. "
7298,FES Cuautitlán,24,Femenino,B,Sí,Sí,No,"Dar aviso a los profesores desde inició del semestre de que serán tutores, porque casi siempre es a mediados de semestre o casi finales cuando uno se entera."
7299,Escuela Nacional Preparatoria,15,Femenino,B,Sí,Sí,Sí,"Nada por el momento 

"
7302,FES Iztacala,22,Femenino,B,Sí,Sí,Sí,"Seleccionar de manera adecuada a los tutores
"
7304,Escuela Nacional Preparatoria,17,Femenino,B,No,No,No,.
7317,ENP. no. 7 Ezequiel A. Chavez,16,Masculino,B,No,Sí,Sí,"Por el momento nada, quizá solamente que exista un poco más de coordinación "
7318,FES Zaragoza,19,Femenino,B,Sí,Sí,Sí,"El conocer la programación de las
tutorías nos ayudaría."
7325,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,"Honestamente no, ya que a mi parecer es buena."
7326,"Facultad de Medicina, Veterinaria y Zootecnia",24,Femenino,B,Sí,No,No,"Mejorar la comunicación del Tutor y los Tutorados.
"
7331,"Facultad de Medicina, Veterinaria y Zootecnia",20,Femenino,B,Sí,Sí,Sí,Que sean más conocidas las tutorías
7340,Escuela Nacional Preparatoria,16,Masculino,B,No,Sí,Sí,Determinar un espacio para impartir la tutoría y que no interfiera con la materia del docente asignado.
7343,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,No,No tengo ninguna.
7344,FES Cuautitlán,21,Femenino,B,No,Sí,Sí,Que los profesores ya tengan preparados algunos temas de interés 
7346,Escuela Nacional Preparatoria,17,Femenino,B,Sí,Sí,Sí,"Básicamente solo me gustaría que siguiéramos contando con el apoyo de la tutoría, ya que ayuda en varios aspectos."
7347,Facultad e Contaduría y Administración,18,Femenino,B,Sí,Sí,Sí,Hacer más reuniones a travez de zoom.
7352,Escuela Nacional Preparatoria,16,Masculino,B,Sí,Sí,Sí,"Estoy bien así, gracias. "
7355,ENES León,19,Femenino,B,No,No,Sí,No por el momento
7357,ENP 8,18,Femenino,B,Sí,Sí,Sí,Tal vez agregar una hora especifica para tutoría
7358,Escuela Nacional Preparatoria,15,Masculino,B,No,Sí,Sí,Todo esta muy bien
7359,Facultad de Medicina,18,Femenino,B,Sí,Sí,Sí,"La verdad es que el trabajo que ha realizado mi tutor conmigo está súper bien, sinseramente no lo cambiaría por nada."
7364,Facultad e Contaduría y Administración,20,Femenino,B,No,Sí,No,"En mi grupo sólo tuvimos una sesión de zoom por con el tutor, no sentí el apoyo de un tutor en todo el semestre "
7365,Facultad de Ingeniería,22,Masculino,B,Sí,Sí,Sí,"Sería muy bueno poder estar en contacto con el tutor por algún canal ""oficial"" después del primer semestre."
7376,Escuela Nacional Preparatoria,16,Femenino,B,No,Sí,Sí,Zi
7382,Escuela Nacional Preparatoria,18,Femenino,B,Sí,Sí,Sí,No sugerencias porque la tutoría en mi escuela es buena 
7384,Escuela Nacional Preparatoria 1,17,Masculino,B,No,Sí,Sí, 
7388,Escuela Nacional Preparatoria,15,Masculino,B,No,No,No,Ninguna
7391,Escuela Nacional Preparatoria,15,Masculino,B,Sí,No,Sí,"No , creo que todo se encuentra bien"
7396,Escuela Nacional de Enfermería y Obstetricia,21,Femenino,B,Sí,Sí,Sí,Consideraría que la tutoría debería ser dinámica. 
7406,Facultad de Ingeniería,21,Femenino,B,Sí,Sí,Sí,"Más difusión de información con respecto a la tutoría. Igualmente, seleccionar más tutores calificados para ellos, aunque no es mi caso, tengo amigos que desde segundo semestre no recibieron respuesta ni ayuda por parte de sus tutores."
